time,Ml,Ml_unc
1562270058,1.915097,0.260749
1562270096,1.767781,0.220707
1562270145,3.14779,0.468681
1562270151,3.125969,0.251145
1562270161,4.088778,0.259282
1562270241,2.756392,0.269469
1562270280,2.700212,0.199493
1562270318,2.180133,0.200995
1562270329,2.469029,0.208858
1562270383,2.122349,0.290341
1562270412,1.972919,0.187555
1562270459,2.136473,0.295055
1562270471,2.83942,0.273974
1562270493,2.294035,0.238525
1562270554,1.464024,0.21765
1562270588,1.921823,0.278318
1562270634,,
1562270649,2.738797,0.446274
1562270656,2.7782,0.176056
1562270692,2.169135,0.362113
1562270730,2.339332,0.219862
1562270744,2.212752,0.139793
1562270768,3.384678,0.164638
1562270852,2.001313,0.269923
1562270878,2.343086,0.257084
1562270916,1.969321,0.365398
1562270984,1.867565,0.204248
1562271019,1.613078,0.280837
1562271028,2.061851,0.446222
1562271056,2.067132,0.354655
1562271091,2.759981,0.232837
1562271129,2.127732,0.110357
1562271186,1.51489,0.252551
1562271209,1.894289,0.321035
1562271263,1.772171,0.22173
1562271280,4.318277,0.166834
1562271290,4.345224,0.289348
1562271368,2.519016,0.194087
1562271457,3.112844,0.248039
1562271516,1.996293,0.130564
1562271553,2.02826,0.424319
1562271579,1.967941,0.178371
1562271609,2.042954,0.248521
1562271644,2.002425,0.193515
1562271691,1.669847,0.118358
1562271721,1.800432,0.227167
1562271778,2.339916,0.329932
1562271788,3.427101,0.272746
1562271838,2.619962,0.256978
1562271864,2.405725,0.089347
1562271945,1.582779,0.256
1562271982,1.535869,0.3593
1562272057,1.371044,0.222502
1562272096,1.738623,0.316585
1562272120,1.829547,0.187941
1562272145,1.684551,0.155674
1562272174,1.885679,0.429931
1562272209,1.825251,0.276102
1562272237,1.893817,0.196361
1562272244,1.795042,0.111263
1562272332,1.59643,0.465476
1562272340,1.658355,0.291148
1562272354,2.150349,0.231143
1562272414,1.464667,0.313355
1562272434,1.863662,0.206206
1562272472,2.741474,0.239085
1562272521,2.546246,0.262187
1562272619,1.795085,0.178128
1562272649,2.170872,0.246353
1562272735,2.072343,0.178658
1562272754,2.619155,0.262419
1562272778,1.843803,0.232622
1562272803,1.98605,0.216396
1562272853,1.593654,0.140627
1562272881,1.712397,0.280101
1562272892,2.396176,0.296671
1562272939,1.646054,0.277496
1562272962,1.932349,0.339268
1562272997,1.795971,0.359281
1562273105,1.377497,0.216327
1562273127,2.960501,0.22165
1562273183,2.091995,0.252184
1562273240,1.599001,0.233754
1562273253,1.921256,0.232274
1562273260,1.963873,0.38619
1562273321,1.63329,0.206252
1562273346,2.247533,0.353873
1562273383,2.042321,0.303823
1562273420,2.320395,0.180579
1562273514,1.769213,0.150275
1562273544,2.536629,0.254557
1562273606,1.917166,0.183305
1562273620,2.182649,0.260772
1562273684,1.798813,0.141699
1562273699,1.722766,0.097515
1562273716,3.307556,0.776069
1562273725,3.437584,0.24407
1562273799,2.061116,0.199979
1562273832,2.635514,0.199548
1562273850,2.396465,0.256486
1562273889,2.024621,0.176151
1562273938,1.994609,0.340992
1562273969,2.455043,0.263294
1562273998,1.705252,0.205769
1562274010,1.691777,0.251855
1562274024,2.254642,0.375886
1562274057,2.337181,0.193292
1562274089,2.381027,0.22337
1562274167,3.445962,0.250664
1562274176,3.699202,0.269153
1562274298,1.787229,0.292192
1562274357,1.683016,0.310418
1562274428,2.563908,0.226139
1562274475,2.009448,0.361646
1562274537,1.471937,0.222861
1562274556,1.645281,0.144062
1562274578,1.370789,0.272668
1562274586,1.938736,0.263766
1562274616,1.842067,0.24822
1562274626,2.181747,0.266796
1562274670,1.65939,0.305556
1562274712,2.193658,0.241745
1562274746,1.760431,0.348702
1562274776,1.8145,0.179751
1562274805,1.625654,0.323817
1562274831,1.779102,0.315093
1562274840,1.826705,0.204663
1562274876,1.692628,0.138778
1562274883,1.793624,0.247411
1562274932,1.749951,0.286275
1562274955,2.662713,0.343997
1562275011,1.874408,0.365011
1562275107,2.174732,0.196244
1562275120,1.952476,0.238501
1562275280,1.574791,0.31089
1562275315,2.108035,0.130107
1562275358,3.347045,0.242448
1562275377,2.355805,0.200098
1562275395,2.75714,0.30161
1562275489,1.800075,0.19647
1562275499,1.707624,0.19351
1562275520,2.748285,0.175357
1562275528,2.339582,0.254361
1562275544,2.59113,0.254936
1562275575,2.494777,0.170393
1562275595,3.059564,0.193424
1562275622,2.650598,0.139198
1562275702,1.791416,0.161753
1562275724,2.493719,0.330253
1562275810,1.073539,0.149171
1562275844,1.447722,0.240339
1562275858,1.817464,0.312802
1562275873,2.370873,0.159512
1562275911,1.555479,0.227852
1562275931,1.93293,0.327448
1562275966,2.724313,0.340429
1562275998,3.753827,0.394337
1562276014,3.03174,0.21669
1562276083,1.940615,0.262584
1562276124,1.440614,0.136311
1562276145,1.847481,0.131893
1562276159,1.76559,0.217052
1562276185,1.885837,0.234015
1562276224,1.764294,0.266235
1562276233,1.999203,0.24965
1562276253,2.37644,0.227213
1562276324,1.555666,0.147309
1562276414,1.780869,0.25666
1562276432,3.41289,0.254403
1562276492,2.543329,0.151301
1562276520,2.795605,0.181461
1562276580,2.051183,0.31315
1562276632,1.475206,0.225592
1562276649,2.591087,0.296868
1562276703,1.289857,0.309516
1562276768,2.651521,0.241566
1562276793,2.440047,0.216377
1562276824,3.276013,0.146729
1562276870,2.344387,0.345808
1562276901,1.872705,0.164472
1562276967,1.524966,0.224053
1562276973,1.466124,0.182166
1562276993,1.747467,0.189461
1562277025,2.46621,0.315882
1562277054,1.942018,0.150224
1562277102,1.572374,0.355524
1562277147,1.542983,0.228684
1562277187,1.505767,0.19178
1562277220,1.80179,0.247715
1562277260,1.991228,0.262991
1562277289,1.954869,0.235323
1562277342,1.755979,0.334417
1562277399,1.631843,0.113229
1562277449,1.760434,0.327621
1562277474,1.238088,0.102178
1562277489,2.092035,0.361939
1562277555,2.216985,0.263805
1562277562,2.138458,0.17965
1562277601,2.21351,0.403476
1562277701,1.555429,0.157299
