year,month, day,hour,min,sec
2023,2,6,18,17,48.1589
2023,2,6,18,23,49.5568
2023,2,6,18,26,44.9546
2023,2,6,18,31,24.1403
2023,2,6,18,32,37.7478
2023,2,6,18,40,6.5442
2023,2,6,18,41,37.4211
2023,2,6,18,48,46.1757
2023,2,6,18,49,57.657
2023,2,6,18,51,18.5769
2023,2,6,18,53,36.5374
2023,2,6,18,55,52.3817
2023,2,6,19,0,47.4752
2023,2,6,19,2,50.6554
2023,2,6,19,6,0.3596
2023,2,6,19,10,29.9247
2023,2,6,19,12,30.5034
2023,2,6,19,14,51.1376
2023,2,6,19,15,46.7651
2023,2,6,19,19,58.4983
2023,2,6,19,22,48.5253
2023,2,6,19,24,16.8421
2023,2,6,19,25,0.9561
2023,2,6,19,27,20.8518
2023,2,6,19,30,58.6065
2023,2,6,19,33,41.5471
2023,2,6,19,34,12.7158
2023,2,6,19,35,49.1977
2023,2,6,19,37,35.141
2023,2,6,19,40,13.972
2023,2,6,19,41,59.1999
2023,2,6,19,43,42.3458
2023,2,6,19,46,32.0032
2023,2,6,19,47,56.6065
2023,2,6,19,49,38.1886
2023,2,6,19,52,38.6897
2023,2,6,19,53,55.0786
2023,2,6,19,54,55.5442
2023,2,6,19,57,58.353
2023,2,6,20,2,24.8635
2023,2,6,20,5,21.6878
2023,2,6,20,5,33.719
2023,2,6,20,8,27.9497
2023,2,6,20,10,19.5307
2023,2,6,20,11,47.663
2023,2,6,20,13,9.1069
2023,2,6,20,14,10.1652
2023,2,6,20,15,53.1679
2023,2,6,20,18,19.6021
2023,2,6,20,21,54.0587
2023,2,6,20,23,10.7026
2023,2,6,20,26,11.6746
2023,2,6,20,28,9.3554
2023,2,6,20,32,1.5366
2023,2,6,20,35,1.2641
2023,2,6,20,37,49.9788
2023,2,6,20,40,4.9892
2023,2,6,20,41,28.9173
2023,2,6,20,43,59.6006
2023,2,6,20,50,46.7407
2023,2,6,20,52,57.8248
2023,2,6,20,53,22.6548
2023,2,6,20,53,59.7779
2023,2,6,20,55,47.8802
2023,2,6,20,58,12.8232
2023,2,6,21,0,54.6767
2023,2,6,21,2,4.9732
2023,2,6,21,3,12.4831
2023,2,6,21,6,30.2702
2023,2,6,21,12,57.976
2023,2,6,21,13,44.797
2023,2,6,21,15,16.6661
2023,2,6,21,17,29.9746
2023,2,6,21,19,44.7618
2023,2,6,21,23,42.0461
2023,2,6,21,24,59.3898
2023,2,6,21,25,1.0167
2023,2,6,21,27,1.8307
2023,2,6,21,28,9.1768
2023,2,6,21,32,48.5825
2023,2,6,21,34,38.7769
2023,2,6,21,35,7.3171
2023,2,6,21,36,44.6108
2023,2,6,21,38,45.2944
2023,2,6,21,39,33.6297
2023,2,6,21,41,24.5143
2023,2,6,21,51,32.9485
2023,2,6,21,57,42.5981
2023,2,6,22,1,10.7135
2023,2,6,22,4,41.4171
2023,2,6,22,6,14.286
2023,2,6,22,9,50.4533
2023,2,6,22,11,34.8308
2023,2,6,22,14,0.5235
2023,2,6,22,16,19.6457
2023,2,6,22,20,43.268
2023,2,6,22,23,35.1199
2023,2,6,22,26,16.5764
2023,2,6,22,28,7.6468
2023,2,6,22,29,12.1026
2023,2,6,22,29,38.8122
2023,2,6,22,34,20.2412
2023,2,6,22,37,37.5059
2023,2,6,22,40,12.7392
2023,2,6,22,40,16.4541
2023,2,6,22,42,1.2721
2023,2,6,22,44,54.0107
2023,2,6,22,45,2.3623
2023,2,6,22,51,16.8731
2023,2,6,22,55,25.8647
2023,2,6,22,57,53.2168
2023,2,6,22,59,3.8861
2023,2,6,23,1,54.9699
2023,2,6,23,5,23.3854
2023,2,6,23,8,4.9181
2023,2,6,23,11,37.9413
2023,2,6,23,13,27.6493
2023,2,6,23,17,11.0931
2023,2,6,23,20,50.5843
2023,2,6,23,21,6.7874
2023,2,6,23,27,10.3186
2023,2,6,23,29,16.6556
2023,2,6,23,30,7.1775
2023,2,6,23,32,3.733
2023,2,6,23,36,23.3419
2023,2,6,23,39,7.0785
2023,2,6,23,45,42.7818
2023,2,6,23,46,47.3441
2023,2,6,23,49,55.1957
2023,2,6,23,54,15.1984
